Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Sudan,Africa,44294125,20468,172,1319,10,11673,160,7476,,462,30,,,EasternMediterranean
Zambia,Africa,18606648,18091,29,364,,17307,12,420,,972,20,467787,25141,Africa
Madagascar,Africa,27999629,17473,,255,,16927,,291,16,624,9,95472,3410,Africa
Senegal,Africa,16935090,16766,101,343,2,15950,46,473,12,990,20,241073,14235,Africa
Estonia,Europe,1326931,16598,544,141,2,9945,85,6512,24,12509,106,529988,399409,Europe
Mozambique,Africa,31634187,16521,81,139,1,14715,31,1667,,522,4,243314,7691,Africa
Angola,Africa,33307109,15925,121,362,4,8679,100,6884,14,478,11,171247,5141,Africa
Namibia,Africa,2561001,15773,301,158,3,14218,23,1397,10,6159,62,170817,66699,Africa
French Polynesia,Australia/Oceania,281625,15535,124,91,1,4842,,10602,25,55162,323,26355,93582,
DRC,Africa,90736308,13997,154,350,,12208,,1439,,154,4,,,Africa
Cyprus,Asia,1211236,13649,363,70,2,2057,,11522,20,11269,58,651431,537823,Europe
Guinea,Africa,13287007,13325,,79,,12548,,698,24,1003,6,82528,6211,Africa
Maldives,Asia,544704,13308,34,47,,12621,30,640,12,24432,86,263107,483027,South-EastAsia
Tajikistan,Asia,9630809,12588,37,88,,12009,41,491,,1307,9,,,Europe
Botswana,Africa,2372322,12058,,36,,9400,,2622,1,5083,15,455040,191812,Africa
French Guiana,South America,302037,11677,77,71,,9995,,1611,,38661,235,88135,291802,
Jamaica,North America,2966882,11443,74,270,4,7522,132,3651,9,3857,91,122930,41434,Americas
Cabo Verde,Africa,558642,11192,,109,,10760,,323,23,20034,195,106553,190736,Africa
Zimbabwe,Africa,14957728,11081,74,305,1,9253,106,1523,,741,20,189370,12660,Africa
Malta,Europe,442064,10884,106,164,4,8848,128,1872,18,24621,371,455897,1031292,Europe
Mauritania,Africa,4702611,10105,,202,,7925,,1978,37,2149,43,106996,22752,Africa
Haiti,North America,11463568,9434,,233,,8170,,1031,,823,20,34734,3030,Americas
Gabon,Africa,2248549,9300,,62,,9155,,83,9,4136,28,322361,143364,Africa
Cuba,North America,11323546,9181,75,136,,8212,75,833,11,811,12,1218718,107627,Americas
Syria,Asia,17685216,8787,112,476,11,4174,60,4137,,497,27,,,EasternMediterranean
Belize,North America,400780,8519,,183,,4075,,4261,4,21256,457,45712,114058,Americas
Guadeloupe,North America,400154,8472,,151,,2242,,6079,7,21172,377,78966,197339,
Réunion,Africa,898130,8345,,41,,7729,,575,8,9292,46,48859,54401,
